Bhf;alt;neu;kommentar;Beschreibung aus API
Dortmund-Dorstfeld;10014314;10572376;;Gleis 3/4
Dortmund-Dorstfeld;10014313;10572375;;Gleis 5/6
Essen-Steele;10018614;10534644;;zu Gleis 103/104
Osnabrück Hbf;10049722;;nicht fahrgastrelevant;
Gießen;10180137;10440074;;
Gießen;10182000;10440075;;
Kirchentellinsfurt;10313515;;in app nicht angezeigt;
Aachen-Rothe Erde;10355616;10560984;keine Angaben zur Lage;
Ahlen (Westf);10593958;;in app nicht angezeigt;
Baden-Baden;10198050;10571157;;PAufzug_Gleis 4
Baden-Baden;10287675;10571158;;Personenaufzug Bstg. D Gl. 7
Berlin-Köpenick;10310569;10570035;;zu Gleis 1/2 (S-Bahn)
Berlin-Schöneweide Pbf;10069131;10778020;;zu Gleis 3/4
Berlin-Schöneweide Pbf;10448907;10778021;;zu Gleis 5/6
Buchholz (Nordheide);10318084;10562621;;zu Gleis 3/6
Buchloe;10010868;;unklar;
Dombühl;10528998;;in app nicht angezeigt;
Dombühl;10529001;;in app nicht angezeigt;
Egelsbach;10016721;10606134;;
Erzhausen;10018120;10606133;;
Esslingen (Neckar);10225060;10571888;;zu Gleis 7/8
Frankfurt (Main) Hbf;10314463;;nicht ohne weiteres identifizierbar;
Frankfurt (Main) Hbf;10314464;;nicht ohne weiteres identifizierbar;
Fürth (Bay) Hbf;10096734;10468777;;zu Gleis 20/21 (S-Bahn)
Göppingen;10227493;10569936;;zu Gleis 4/5
Göppingen;10227498;10556915;;zu Gleis 6/7
Haar;10473068;10615946;;Hausbahnsteig, Gleis 1
Haar;10473069;10615948;;Mittelbahnsteig, Gleis 4/5
Halle (Saale) Hbf;10027545;10567569;Zuordnung nach dem Ausschlussprinzip;
Hamburg Hbf;10028021;10776764;;zu Gleis 3/4 (S-Bahn)
Hamm (Westf);10028237;10566392;; zu Gleis 8/9 Abschnitt B/C/D
Hamm (Westf);10028238;;in app nicht angezeigt;
Hermsdorf-Klosterlausnitz;10219402;10545772;;Aufzug Bahnsteig 1/2
Hermsdorf-Klosterlausnitz;10219403;10545773;;Aufzug Vorplatz
Kirchentellinsfurt;10313515;;in app nicht angezeigt;
Köln-Ehrenfeld;10211729;;unklar;
Leipzig-Möckern;10038232;10587211;;keine Angabe in der API
Limburg Süd;10200131;10621641;;zu Gleis 1
Limburg Süd;10200132;10621642;;zu Gleis 4
Ludwigshafen-Rheingönheim;10414181;;unklar;
Magdeburg Hbf;10040574;;;
Magdeburg Hbf;10040575;;;
Magdeburg-Neustadt;10457767;10567711;über Openstreetmap verifiziert;keine Angabe in der API
Magdeburg-Neustadt;10457768;10567712;;keine Angabe in der API
Marl-Hamm;10041367;10560981;gibt nur den einen;keine Angabe in der API
Moosburg;10042651;;in app nicht angezeigt;
Moosburg;10042652;;in app nicht angezeigt;
Mühlhausen (Thür);10211160;10501477;;
Mühlhausen (Thür);10224437;10501407;;
Mülheim (Ruhr)-Styrum;10043045;10560987;in App nicht angezeigt, aber in API;
München Hbf;10116879;;unklar;
München Hbf;10122519;;unklar;
Nürnberg-Ostring;10502128;;in App nicht angezeigt;
Potsdam Hbf;10075266;10508142;;zu Gleis 6/7
Recklinghausen Hbf;10069596;;unklar;
Rostock Hbf;10238774;10597635;;Gleis 3-7 (C2) - 1.UG - 2.UG
Sandersleben (Anh);10055575;10509418;aufzüge nach Nummernhöhe zugeordnet;
Sandersleben (Anh);10055576;10509419;aufzüge nach Nummernhöhe zugeordnet;
Schorndorf;10307731;;in App nicht angezeigt;
Schorndorf;10307734;;in App nicht angezeigt;
Schorndorf;10307753;;in App nicht angezeigt;
Werdohl;10333915;;in App nicht angezeigt;
Zeitz;10298025;;in App nicht angezeigt;
Ludwigshafen (Rhein) Mitte;10270872;10595943;es gibt zwei Aufzüge mit der Benennung Gleis 2/3  10595950;zu Gleis 2/3 
Olympiastadion;10464309;;in App nicht angezeigt;
