"equipmentnumber","type","description","stationnumber","createdAt","updatedAt","x","y"
10001649,"ELEVATOR","zu Gleis 1",7205,2018-07-19 10:51:17,2019-11-13 10:45:12,6.073846,50.7693525
10001650,"ELEVATOR","zu Gleis 2",7205,2018-07-19 10:51:18,2019-11-13 10:45:12,6.0740748,50.7693984
10003481,"ELEVATOR","zu Gleis 2/31/32/4",204,2018-07-19 10:51:17,2019-11-13 10:45:11,7.656399081,50.77380406
10003482,"ELEVATOR","zu Gleis 1",204,2018-07-19 10:51:17,2019-11-13 10:45:11,7.656456155,50.77366611
10004693,"ELEVATOR","von EG zu Tunnel",317,2018-07-19 10:51:17,2019-11-13 10:45:11,10.3820612,53.8055334
10004708,"ELEVATOR","zu Gleis 4",317,2018-07-19 10:51:17,2019-11-13 10:45:12,10.3823121,53.8054481
10004710,"ELEVATOR","zu Gleis 6/7",317,2018-07-19 10:51:17,2019-11-13 10:45:12,10.382723,53.8052881
10006118,"ELEVATOR","zu Gleis 1/2 (S-Bahn)",437,2018-07-19 10:51:16,2019-11-13 10:45:10,6.996595727,51.0113225
10006121,"ELEVATOR","zu Gleis 1",439,2018-07-19 10:51:16,2019-11-13 10:45:10,11.5796545,49.9496126
10006123,"ELEVATOR","zu Gleis 2/3",439,2018-07-19 10:51:16,2019-11-13 10:45:10,11.5799701,49.9495949
10006890,"ELEVATOR","zu Gleis 1/2",529,2018-07-19 10:51:19,2019-11-13 10:45:13,13.4387503,52.5403402
10007538,"ELEVATOR","zu Gleis 1/2",540,2018-07-19 10:51:16,2019-11-13 10:45:10,13.5732065,52.4130702
10007539,"ELEVATOR","zu Gleis 3/4",540,2018-07-19 10:51:16,2019-11-13 10:45:10,13.5734009,52.4131688
10007851,"ELEVATOR","zu Gleis 11/12 (S-Bahn)",558,2018-07-19 10:51:18,2019-11-13 10:45:12,13.352036,52.4793691
10007917,"ELEVATOR","von EG zu Tunnel",566,2018-07-19 10:51:18,2019-11-13 10:45:12,13.1788473,52.4218402
10007919,"ELEVATOR","zu Gleis 1/2 (S-Bahn)",566,2018-07-19 10:51:18,2019-11-13 10:45:12,13.17934337,52.4212849
10007929,"ELEVATOR","zu Gleis 3/4 (S-Bahn)",566,2018-07-19 10:51:18,2019-11-13 10:45:12,13.1795426,52.4211627
10008866,"ELEVATOR","zu Gleis 3/4",680,2018-07-19 10:51:16,2019-11-13 10:45:10,12.3168295,51.6228701
10008873,"ELEVATOR","zu Gleis 1/2",680,2018-07-19 10:51:16,2019-11-13 10:45:10,12.3170843,51.6228475
10008878,"ELEVATOR","zu Gleis 5/6",680,2018-07-19 10:51:16,2019-11-13 10:45:10,12.3166047,51.6228899
10008887,"ELEVATOR","von Empfangshalle zu Tunnel",680,2018-07-19 10:51:16,2019-11-13 10:45:10,12.3172696,51.6228387
10009222,"ELEVATOR","zu Gleis 1/2",724,2018-07-19 10:51:15,2019-11-13 10:45:10,7.2230505,51.4787334
10009288,"ELEVATOR","zu Gleis 3/4 Abschnitt B",724,2018-07-19 10:51:16,2019-11-13 10:45:10,7.2232076,51.4786007
10009291,"ELEVATOR","zu Gleis 5/6 Abschnitt B",724,2018-07-19 10:51:16,2019-11-13 10:45:10,7.2233781,51.4784572
10009557,"ELEVATOR","von EG zu Tunnel",767,2018-07-19 10:51:17,2019-11-13 10:45:11,7.0961769,50.7317365
10009565,"ELEVATOR","zu Gleis 5",767,2018-07-19 10:51:17,2019-11-13 10:45:11,7.0963239,50.7319243
10009608,"ELEVATOR","zu Gleis 4",767,2018-07-19 10:51:18,2019-11-13 10:45:12,7.0964342,50.7320678
10009609,"ELEVATOR","zu Gleis 1",767,2018-07-19 10:51:18,2019-11-13 10:45:12,7.0966064,50.7322785
10009610,"ELEVATOR","zu Gleis 2/3",767,2018-07-19 10:51:18,2019-11-13 10:45:12,7.0964927,50.7321452
10009787,"ELEVATOR","zu Gleis 1/2 (S-Bahn)",791,2018-07-19 10:51:18,2019-11-13 10:45:12,13.3976331,52.5550454
10010125,"ELEVATOR","von KG zu 7.OG",835,2018-07-19 10:51:15,2019-11-13 10:45:10,10.53992,52.2526
10010251,"ELEVATOR","von EG zu Tunnel",842,2018-07-19 10:51:16,2019-11-13 10:45:10,8.969862,54.6214509
10010252,"ELEVATOR","zu Gleis 1/2",842,2018-07-19 10:51:16,2019-11-13 10:45:10,8.9700141,54.6214965
10010334,"ELEVATOR","zu Gleis 2",857,2018-07-19 10:51:17,2019-11-13 10:45:11,8.7047047,53.1599001
10010338,"ELEVATOR","zu Gleis 3/4",857,2018-07-19 10:51:17,2019-11-13 10:45:11,8.7049549,53.1599128
10010339,"ELEVATOR","zu Gleis 5",857,2018-07-19 10:51:17,2019-11-13 10:45:11,8.705156,53.1599432
10010381,"ELEVATOR","zu Gleis 5/6",867,2018-07-19 10:51:16,2019-11-13 10:45:11,8.7866516,53.1034001
10010867,"ELEVATOR","zu Gleis 4/5",944,2018-07-19 10:51:18,2018-11-06 14:30:16,10.716447,48.0340415
10010868,"ELEVATOR","zu Gleis 2/3",944,2018-07-19 10:51:18,2018-09-29 14:30:14,10.7166186,48.0339859
10010869,"ELEVATOR","zu Gleis 1",944,2018-07-19 10:51:18,2018-11-06 14:30:16,10.7168061,48.0338907
10010921,"ELEVATOR","zu Gleis 1",948,2018-07-19 10:51:19,2019-11-13 10:45:13,9.047808972,52.26763497
10010923,"ELEVATOR","zu Gleis 2/3",948,2018-07-19 10:51:19,2019-11-13 10:45:13,9.047727131,52.26778193
10011656,"ELEVATOR","zu Gleis 2/3",1036,2018-07-19 10:51:16,2019-11-13 10:45:10,10.0629019,52.620995
10011706,"ELEVATOR","zu Gleis 13/14",1040,2018-07-19 10:51:17,2019-11-13 10:45:11,12.9310391,50.8390855
10011710,"ELEVATOR","zu Gleis 11/12",1040,2018-07-19 10:51:17,2019-11-13 10:45:11,12.9308241,50.8391133
10011789,"ELEVATOR","Textilhalle",1040,2018-07-19 10:51:17,2019-11-13 10:45:11,12.9304519,50.8391623
10012255,"ELEVATOR","zu Gleis 1",1070,2018-07-19 10:51:17,2019-11-13 10:45:11,12.3667999,51.3668175
10012256,"ELEVATOR","zu Gleis 2",1070,2018-07-19 10:51:17,2019-11-13 10:45:11,12.3668426,51.3669408
10012322,"ELEVATOR","zu Gleis 6",1077,2018-07-19 10:51:17,2019-11-13 10:45:12,14.32472593,51.75118426
10012323,"ELEVATOR","zu Gleis 1",1077,2018-07-19 10:51:17,2019-11-13 10:45:12,14.32476447,51.75053847
10013195,"ELEVATOR","zu Gleis 2/3",1173,2018-07-19 10:51:19,2019-11-13 10:45:13,12.2350332,51.8399472
10013196,"ELEVATOR","zu Gleis 6/7",1173,2018-07-19 10:51:19,2019-11-13 10:45:13,12.2344547,51.8400852
10013200,"ELEVATOR","zu Gleis 4/5",1173,2018-07-19 10:51:15,2019-11-13 10:45:10,12.234732,51.8400162
10013213,"ELEVATOR","von EG zu Tunnel",1173,2018-07-19 10:51:15,2019-11-13 10:45:10,12.2340554,51.8401881
10013215,"ELEVATOR","von Empfangshalle zu Tunnel",1173,2018-07-19 10:51:15,2019-11-13 10:45:10,12.2352251,51.8399059
10013632,"ELEVATOR","zu Gleis 1 (S-Bahn)",1235,2018-07-19 10:51:17,2019-11-13 10:45:12,7.33428,51.5007291
10013711,"ELEVATOR","von Gleis 2 zu Gleis 3",1240,2018-07-19 10:51:18,2019-11-13 10:45:12,13.5645892,51.620815
10013714,"ELEVATOR","von Gleis 1 zu Gleis 3",1240,2018-07-19 10:51:18,2019-11-13 10:45:12,13.5640052,51.620683
10013929,"ELEVATOR","zu Gleis 2/4",1274,2018-07-19 10:51:18,2019-11-13 10:45:13,6.814657,51.0995119
10013936,"ELEVATOR","zu Gleis 1/10",1274,2018-07-19 10:51:18,2019-11-13 10:45:13,6.814792,51.0996317
10014098,"ELEVATOR","zu Gleis 6/7 (S-Bahn)",1289,2018-07-19 10:51:17,2019-11-13 10:45:11,7.459799393,51.51764257
10014312,"ELEVATOR","Gleis 1",1304,2018-07-19 10:51:18,2019-11-13 10:45:12,7.4236822,51.5088335
10014313,"ELEVATOR","Gleis 5/6",1304,2018-07-19 10:51:18,2019-07-05 07:00:14,7.4241162,51.5094447
10014314,"ELEVATOR","Gleis 3/4",1304,2018-07-19 10:51:18,2018-09-29 14:30:14,7.4241457,51.5096056
10014316,"ELEVATOR","Gleis 2",1304,2018-07-19 10:51:18,2019-11-13 10:45:12,7.4239255,51.5086569
10014785,"ELEVATOR","zu Gleis 1/2",1356,2018-07-19 10:51:16,2019-11-13 10:45:11,13.7905435,51.0212907
10014806,"ELEVATOR","zu Gleis 1 (S-Bahn)",1371,2018-07-19 10:51:17,2019-11-13 10:45:11,7.1021074,50.9846544
10015624,"ELEVATOR","zu Gleis 3/4",1399,2018-07-19 10:51:18,2019-11-13 10:45:12,6.8787941,51.1622485
10015805,"ELEVATOR","zu Gleis 19/20",1401,2018-07-19 10:51:15,2019-11-13 10:45:10,6.7954912,51.2196009
10015806,"ELEVATOR","zu Gleis 11/12 (S-Bahn)",1401,2018-07-19 10:51:15,2019-11-13 10:45:10,6.7946775,51.2200853
10015807,"ELEVATOR","zu Gleis 15/16",1401,2018-07-19 10:51:15,2019-11-13 10:45:10,6.7950265,51.2198242
10015809,"ELEVATOR","zu Gleis 9/10",1401,2018-07-19 10:51:15,2019-11-13 10:45:10,6.7943761,51.2201368
10015810,"ELEVATOR","zu Gleis 6/7",1401,2018-07-19 10:51:15,2019-11-13 10:45:10,6.7941232,51.2202587
10015811,"ELEVATOR","zu Gleis 4/5",1401,2018-07-19 10:51:15,2019-11-13 10:45:10,6.7938916,51.2203696
10015812,"ELEVATOR","zu Gleis 13/14 (S-Bahn)",1401,2018-07-19 10:51:15,2019-11-13 10:45:10,6.7948481,51.2200044
10015813,"ELEVATOR","zu Gleis 17/18",1401,2018-07-19 10:51:15,2019-11-13 10:45:10,6.7952645,51.2197097
10016218,"ELEVATOR","zu Gleis 1/2",1404,2018-07-19 10:51:19,2019-11-13 10:45:13,6.7968899,51.2365043
10016249,"ELEVATOR","zu Gleis 1/2",1410,2018-07-19 10:51:19,2019-11-13 10:45:13,6.8111819,51.2262528
10016257,"ELEVATOR","zu Gleis 3/4",1412,2018-07-19 10:51:19,2019-11-13 10:45:13,6.89758,51.1437
10016268,"ELEVATOR","zu Gleis 3/4",1415,2018-07-19 10:51:19,2019-11-13 10:45:13,6.9085037,51.1327018
10016282,"ELEVATOR","zu Gleis 3",1419,2018-07-19 10:51:19,2019-11-13 10:45:13,6.8617517,51.1801027
10016283,"ELEVATOR","zu Gleis 4",1419,2018-07-19 10:51:19,2019-11-13 10:45:13,6.8615216,51.1800787
10016287,"ELEVATOR","zu Gleis 1/2",1420,2018-07-19 10:51:19,2019-11-13 10:45:13,6.7888088,51.276744
10016601,"ELEVATOR","zu Gleis 1/2 (S-Bahn)",1451,2018-07-19 10:51:17,2019-11-13 10:45:11,9.1686393,48.692264
10016721,"ELEVATOR","zu Gleis 1/2 (S-Bahn)",1471,2018-07-19 10:51:17,2019-04-24 07:00:14,8.653617985,49.96914482
10016805,"ELEVATOR","zu Gleis 2/3",1483,2018-07-19 10:51:18,2019-11-13 10:45:12,9.7240849,48.2856864
10016817,"ELEVATOR","zu Gleis 1/2",1486,2018-07-19 10:51:18,2019-11-13 10:45:12,8.943011282,48.66212238
10017395,"ELEVATOR","zu Gleis 2",1580,2018-07-19 10:51:18,2019-11-13 10:45:12,7.1955873,53.3690009
10017398,"ELEVATOR","zu Gleis 3/4",1580,2018-07-19 10:51:18,2019-11-13 10:45:12,7.1953381,53.3690019
10017400,"ELEVATOR","zu Gleis 5/6",1580,2018-07-19 10:51:18,2019-11-13 10:45:12,7.1950297,53.3690059
10018039,"ELEVATOR","zu Gleis 1/2",1646,2018-07-19 10:51:19,2019-11-13 10:45:13,6.9024783,51.2204128
