S-Bahnstationsname;DB-Stationsname;Abkuerzung;S-Bahnnetz;BM;Matching-Methode
Agathenburg;Agathenburg;AABG;Hamburg;Hamburg;direct
Ahrensfelde;Ahrensfelde;BAHR;Berlin;Berlin;direct
Aldekerk;Aldekerk;KALK;Rhein-Ruhr;Duisburg;codematch
Alexanderplatz;Alexanderplatz;BALE;Berlin;Berlin;direct
Allermöhe;Allermöhe;AALH;Hamburg;Hamburg;direct
Alpen;Alpen;KALP;Rhein-Ruhr;Duisburg;codematch
Altdorf;Altdorf (b Nürnberg);NAD;Nürnberg;Nürnberg;regex
Altdorf West;Altdorf West (b Nürnberg);NADW;Nürnberg;Nürnberg;regex
Alte Wöhr Stadtpark;Alte Wöhr;AAW;Hamburg;Hamburg;manual
Altenerding;Altenerding;MANE;München;München;direct
Altglienicke;Altglienicke;BAGL;Berlin;Berlin;direct
Altomünster;Altomünster;MAMT;München;München;direct
Alt-Reinickendorf;Alt-Reinickendorf;BARF;Berlin;Berlin;direct
Angermund;Angermund;KANM;Rhein-Ruhr;Düsseldorf;codematch
Anrath;Anrath;KANR;Rhein-Ruhr;Duisburg;codematch
Ansbach;Ansbach;NAN;Nürnberg;Nürnberg;direct
Anwanden;Anwanden;NAWN;Nürnberg;Nürnberg;direct
Arnbach;Arnbach;MANB;München;München;direct
Attilastraße;Attilastraße;BATS;Berlin;Berlin;direct
Aufhausen;Aufhausen (b Erding);MAFE;München;München;regex
Aumühle;Aumühle;AAH;Hamburg;Hamburg;direct
Aying;Aying;MAY;München;München;direct
Babelsberg;Babelsberg;BBAB;Berlin;Berlin;direct
Bachern;Bachern;MBCN;München;München;direct
Bad Homburg v.d.H. Bahnhof;Bad Homburg;FHO;Rhein-Main;Frankfurt a. M.;manual
Bad Soden (Taunus) Bahnhof;Bad Soden (Taunus);FBSO;Rhein-Main;Frankfurt a. M.;suffix
Bad Vilbel Bahnhof;Bad Vilbel;FVL;Rhein-Main;Frankfurt a. M.;suffix
Bad Vilbel Südbahnhof;Bad Vilbel Süd;FVLS;Rhein-Main;Frankfurt a. M.;manual
Bahrenfeld;Bahrenfeld;ABAF;Hamburg;Hamburg;direct
Baierbrunn;Baierbrunn;MBAB;München;München;direct
Baiersdorf;Baiersdorf;NBD;Nürnberg;Nürnberg;direct
Baldham;Baldham;MBDH;München;München;direct
Bamberg;Bamberg;NBA;Nürnberg;Bamberg;direct
Barmbek;Barmbek;ABAP;Hamburg;Hamburg;direct
Baumschulenweg;Baumschulenweg;BBW;Berlin;Berlin;direct
Bedburg-Hau;Bedburg-Hau;KBH;Rhein-Ruhr;Duisburg;codematch
Bellevue;Bellevue;BBEV;Berlin;Berlin;direct
Bergfelde;Bergfelde (b Berlin);BBFE;Berlin;Berlin;regex
Anhalter Bahnhof;Berlin Anhalter Bahnhof;BAHU;Berlin;Berlin;prefix
Brandenburger Tor;Berlin Brandenburger Tor;BTOR;Berlin;Berlin;prefix
Frankfurter Allee;Berlin Frankfurter Allee;BFAL;Berlin;Berlin;prefix
