Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
01;00027;Ahrensburg;Personenunterführung;10347915;Aufzug EG;22926;Ahrensburg;TUNNEL;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,020000000000001;INNEN;1050,0;;;;;;von Empfangshalle zu Tunnel;;;;10,236206;53,6693799;;
;;;;10347965;Aufzug Bstg 1;22926;Ahrensburg;TUNNEL;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,26;AUßEN;1050,0;;;;;;zu Gleis 1/2;;;;10,2363308;53,6692582;;
;;;;10347966;Aufzug Bstg 2;22926;Ahrensburg;TUNNEL;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,39;AUßEN;1050,0;;;;;;zu Gleis 3/4;;;;10,2364708;53,6691301;;
;;;;10347967;Aufzug P&R;22926;Ahrensburg;TUNNEL;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,83;AUßEN;1050,0;;;;;;von EG zu Tunnel;;;;10,2366423;53,6689694;;
;00229;Aumühle;S-Bahnsteig Gleis 3a/3b/4;10196783;Personenaufzug HA 130;21521;Aumühle;ZUGANG EG;Thyssen Krupp;2002;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,13;;1050,0;BAHNSTEIGMITTE;1000,0;2100,0;1100,0;2200,0;zu Gleis 3/4 (S-Bahn);2100,0;211141138;;10,3147041;53,529963;;
;00317;Bad Oldesloe;Bahnsteig 2 Gl. 4;10004708;Personenaufzug;23843;Bad Oldesloe;GLEIS 4+5 ZUM TUNNEL;Rud. Prey GmbH & Co. KG;1998;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,4;6,0;NEBEN;1000,0;;;;;;zu Gleis 4;;;;10,3823121;53,8054481;;
;;;Bahnsteig 4 Gl. 6/7;10004710;Personenaufzug;23843;Bad Oldesloe;GL 6/7;Rud. Prey GmbH & Co. KG;1998;Personenaufzüge;HYDRAULISCH;2,0;2,0;3,0;0,4;6,0;NEBEN;1000,0;;;;;;zu Gleis 6/7;;;;10,382723;53,8052881;;
;;;Empfangsgebäude;10004693;Personenaufzug;23843;Bad Oldesloe;TUNNEL ZUM EG;Rud. Prey GmbH & Co. KG;1998;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,4;4,96;NEBEN;1000,0;;;;;;von EG zu Tunnel;;;;10,3820612;53,8055334;;
;00842;Bredstedt;Bahnhofsvorplatz;10010251;Personenaufzug Tunnel/Vorplatz HA4171;25821;Bredstedt;BAHNHOFSVORPLATZ/TUNNEL HA4171;Rud. Prey GmbH & Co. KG;1997;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,4;4,0;NEBEN;1000,0;;;;;;von EG zu Tunnel;;;;8,969862;54,6214509;;
;;;Mittelbahnsteig / Gl. 1 u. 2;10010252;Personenaufzug Tunnel/Bstg.1/2 HA4173;25821;Bredstedt;TUNNEL/BSTG. GL.1/2 HA4173;Rud. Prey GmbH & Co. KG;1997;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,4;4,0;OBEN;1000,0;;;;;;zu Gleis 1/2;;;;8,9700141;54,6214965;;
